,reviews_username,name,rating
0,joshua,Pink Friday: Roman Reloaded Re-Up (w/dvd),5.0
1,dorothy w,Lundberg Organic Cinnamon Toast Rice Cakes,5.0
3,rebecca,K-Y Love Sensuality Pleasure Gel,1.0
4,walker557,K-Y Love Sensuality Pleasure Gel,1.0
5,samantha,K-Y Love Sensuality Pleasure Gel,1.0
6,raeanne,K-Y Love Sensuality Pleasure Gel,1.0
7,kimmie,K-Y Love Sensuality Pleasure Gel,1.0
8,cassie,K-Y Love Sensuality Pleasure Gel,1.0
9,moore222,K-Y Love Sensuality Pleasure Gel,1.0
10,jds1992,K-Y Love Sensuality Pleasure Gel,1.0
11,bre234,K-Y Love Sensuality Pleasure Gel,1.0
13,gordy313,K-Y Love Sensuality Pleasure Gel,1.0
14,nicole,K-Y Love Sensuality Pleasure Gel,1.0
15,cvperez,K-Y Love Sensuality Pleasure Gel,1.0
16,beccagrl532,K-Y Love Sensuality Pleasure Gel,1.0
17,sanchez,K-Y Love Sensuality Pleasure Gel,1.0
18,ll24,K-Y Love Sensuality Pleasure Gel,3.0
19,browns fan,K-Y Love Sensuality Pleasure Gel,3.0
20,just faith everyday,K-Y Love Sensuality Pleasure Gel,4.0
21,vero,K-Y Love Sensuality Pleasure Gel,4.0
22,jo276,K-Y Love Sensuality Pleasure Gel,4.0
23,ashley a,K-Y Love Sensuality Pleasure Gel,5.0
24,jp71,K-Y Love Sensuality Pleasure Gel,5.0
25,jkell,K-Y Love Sensuality Pleasure Gel,5.0
26,karen,K-Y Love Sensuality Pleasure Gel,5.0
27,warren,K-Y Love Sensuality Pleasure Gel,5.0
28,mas0814,K-Y Love Sensuality Pleasure Gel,5.0
29,amanda,K-Y Love Sensuality Pleasure Gel,5.0
30,peach pie,"J.R. Watkins Hand Cream, Lemon Cream",5.0
31,birdwoman,"J.R. Watkins Hand Cream, Lemon Cream",5.0
32,michelle,"J.R. Watkins Hand Cream, Lemon Cream",5.0
33,jean z,"J.R. Watkins Hand Cream, Lemon Cream",5.0
34,vanessa mcnally,"J.R. Watkins Hand Cream, Lemon Cream",5.0
35,5alarm,"J.R. Watkins Hand Cream, Lemon Cream",5.0
36,danielle,Ambi Complexion Cleansing Bar,4.0
37,shedove,Ambi Complexion Cleansing Bar,5.0
38,cynthiacc,Ambi Complexion Cleansing Bar,5.0
39,dfwatheartgirl,Ambi Complexion Cleansing Bar,5.0
40,crissyx5,"Johnson's Baby Bubble Bath and Wash, 15oz",1.0
41,nyisha m,"Johnson's Baby Bubble Bath and Wash, 15oz",2.0
42,gardenbunny318,"Johnson's Baby Bubble Bath and Wash, 15oz",3.0
43,solo,"Johnson's Baby Bubble Bath and Wash, 15oz",4.0
45,sasparilla,"Johnson's Baby Bubble Bath and Wash, 15oz",4.0
46,mkris18,"Johnson's Baby Bubble Bath and Wash, 15oz",4.0
47,momof2,"Johnson's Baby Bubble Bath and Wash, 15oz",4.0
48,mommyshappy8714,"Johnson's Baby Bubble Bath and Wash, 15oz",5.0
49,eyo,"Johnson's Baby Bubble Bath and Wash, 15oz",5.0
50,anonymous8589,"Johnson's Baby Bubble Bath and Wash, 15oz",5.0
51,jazzymom,"Johnson's Baby Bubble Bath and Wash, 15oz",5.0
52,ramona831,"Johnson's Baby Bubble Bath and Wash, 15oz",5.0
53,morgiana,"Johnson's Baby Bubble Bath and Wash, 15oz",5.0
54,alnscoob97,Olay Regenerist Deep Hydration Regenerating Cream,1.0
55,star33,Olay Regenerist Deep Hydration Regenerating Cream,1.0
56,jacmary,Olay Regenerist Deep Hydration Regenerating Cream,1.0
57,mabelle,Olay Regenerist Deep Hydration Regenerating Cream,1.0
58,kayc,Olay Regenerist Deep Hydration Regenerating Cream,1.0
59,jen717,Olay Regenerist Deep Hydration Regenerating Cream,1.0
60,piggyboy420,Olay Regenerist Deep Hydration Regenerating Cream,1.0
61,darklin,Olay Regenerist Deep Hydration Regenerating Cream,1.0
62,docless82,Olay Regenerist Deep Hydration Regenerating Cream,1.0
63,sash,Olay Regenerist Deep Hydration Regenerating Cream,1.0
64,jharris20,Olay Regenerist Deep Hydration Regenerating Cream,2.0
